,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSDARG00000110173,178.5718754,1.853697749,0.495402285,3.741802985,0.000182705,0.003877633
ENSDARG00000037895,366.0980743,1.855083254,0.619037563,2.996721629,0.002728998,0.032242343
ENSDARG00000099690,163.2201033,1.857436019,0.594328394,3.125268853,0.001776426,0.023160657
ENSDARG00000023316,43.94677438,1.859110085,0.557939315,3.332100883,0.00086193,0.012959236
ENSDARG00000071558,77.77610747,1.859277684,0.583520472,3.186310975,0.001440996,0.019587111
ENSDARG00000098834,229.9337934,1.864385774,0.557534812,3.343980922,0.000825854,0.012558031
ENSDARG00000062831,261.6625435,1.867388095,0.593786448,3.144881634,0.00166154,0.022018041
ENSDARG00000111637,641.4464974,1.867621012,0.616391768,3.029925301,0.002446142,0.029820635
ENSDARG00000032318,125.9415352,1.872425963,0.370215183,5.057669292,4.24E-07,2.61E-05
ENSDARG00000092584,210.9846986,1.875698929,0.465663007,4.028017906,5.62E-05,0.001452135
ENSDARG00000020788,133.5406695,1.884023107,0.590160349,3.192391882,0.001410998,0.019277326
ENSDARG00000010252,346.3023923,1.884106283,0.499882118,3.769101185,0.000163836,0.003544268
ENSDARG00000089221,56.3886109,1.886396105,0.643672408,2.930677286,0.003382239,0.038209632
ENSDARG00000088745,104.4165285,1.886505057,0.608991943,3.097750434,0.001949956,0.024803389
ENSDARG00000088428,65.75918566,1.887160995,0.591396533,3.191024787,0.001417691,0.019356415
ENSDARG00000077249,238.8569924,1.893837712,0.506686199,3.737693499,0.000185716,0.003914584
ENSDARG00000097827,1204.161152,1.895600096,0.631776554,3.000428054,0.002696004,0.031973954
ENSDARG00000105583,75.96663891,1.896279374,0.494199231,3.837074713,0.000124509,0.002833895
ENSDARG00000078912,633.4792782,1.898645669,0.545149541,3.482797885,0.000496203,0.008499808
ENSDARG00000076828,98.84687098,1.902851023,0.646342829,2.944027439,0.003239713,0.036967282
ENSDARG00000073716,52.04777604,1.902906772,0.626673402,3.036520723,0.002393257,0.029292749
ENSDARG00000075641,49.38235366,1.903638694,0.629653816,3.023310023,0.00250026,0.030329295
ENSDARG00000008165,204.080737,1.909044667,0.477782055,3.995639111,6.45E-05,0.001633615
ENSDARG00000062363,80.38927208,1.909046547,0.653422645,2.921610632,0.003482266,0.039129767
ENSDARG00000077120,127.2703104,1.912810141,0.524115857,3.649594105,0.000262655,0.005113288
ENSDARG00000100942,58.1789749,1.913490084,0.658722955,2.90484804,0.003674314,0.040858606
ENSDARG00000009160,42.35619244,1.913548379,0.591009823,3.237760703,0.001204718,0.016923798
ENSDARG00000061551,42.52239059,1.914349606,0.645852558,2.964065997,0.003036032,0.035073379
ENSDARG00000090890,300.4878579,1.914799371,0.533414292,3.589703913,0.000331054,0.006148347
ENSDARG00000094708,139.7948016,1.92186494,0.438975435,4.378069445,1.20E-05,0.000404349
ENSDARG00000053568,69.2376247,1.923459651,0.647435127,2.970891708,0.002969365,0.034470731
ENSDARG00000075718,606.2406652,1.925571945,0.343903495,5.599163647,2.15E-08,2.30E-06
ENSDARG00000012534,25.05509998,1.925790096,0.645331464,2.984187513,0.002843325,0.033296623
ENSDARG00000015623,196.9216486,1.926096979,0.535341971,3.597881508,0.00032082,0.005973836
ENSDARG00000038010,797.2119312,1.926905092,0.471445081,4.087231304,4.37E-05,0.001176326
ENSDARG00000088247,71.27638459,1.927134645,0.538847139,3.576403221,0.000348354,0.006408459
ENSDARG00000070606,161.4347463,1.929492048,0.349829494,5.515521367,3.48E-08,3.35E-06
ENSDARG00000054942,1889.365302,1.930031189,0.596397601,3.236148481,0.001211543,0.017008512
ENSDARG00000061798,212.949879,1.930245712,0.591830472,3.261484164,0.001108306,0.015861011
ENSDARG00000056615,286.6253891,1.931460553,0.509522444,3.790727129,0.000150207,0.003313069
ENSDARG00000001782,54.17273911,1.931952239,0.491404268,3.931492588,8.44E-05,0.002054799
ENSDARG00000006560,51.26722267,1.932444476,0.563287749,3.430652411,0.000602132,0.009781781
ENSDARG00000089327,45.55852887,1.932732011,0.511654986,3.777412636,0.000158466,0.003459573
ENSDARG00000076386,426.3655616,1.932853622,0.597708606,3.233772446,0.001221668,0.017128163
ENSDARG00000039535,29.24545895,1.932884276,0.643354316,3.004385342,0.00266118,0.031736876
ENSDARG00000079705,66.01005161,1.93329471,0.586558697,3.295995301,0.000980737,0.01435216
ENSDARG00000095533,280.8641481,1.93364345,0.546757459,3.536565287,0.000405366,0.00717948
ENSDARG00000007783,63.13549774,1.933969341,0.544746912,3.550216255,0.000384915,0.006886781
ENSDARG00000002235,754.1336462,1.934617193,0.533736542,3.62466693,0.000289334,0.005517204
ENSDARG00000110325,101.2654747,1.936848181,0.438069543,4.421325819,9.81E-06,0.000340923
ENSDARG00000053091,466.4867188,1.938861476,0.670582427,2.891309699,0.003836399,0.042178699
ENSDARG00000089933,403.9162219,1.940779521,0.568825338,3.411907646,0.0006451,0.010333061
ENSDARG00000076789,199.0758118,1.940987355,0.593865042,3.268398069,0.001081581,0.015572296
ENSDARG00000099874,154.1442353,1.941360273,0.577803078,3.359899501,0.000779708,0.011939906
ENSDARG00000013310,131.4166281,1.942055911,0.474420743,4.093530774,4.25E-05,0.001153521
ENSDARG00000102762,234.1005782,1.942111007,0.439514089,4.418768488,9.93E-06,0.00034421
ENSDARG00000001803,43.93023971,1.94259058,0.457549347,4.245641682,2.18E-05,0.000662421
ENSDARG00000061196,300.3048451,1.943572411,0.57208101,3.39737271,0.000680362,0.010726862
ENSDARG00000052427,43.18771928,1.944222087,0.598902308,3.246309225,0.001169118,0.016521317
ENSDARG00000026417,41.45242924,1.944573957,0.653312377,2.976484182,0.002915741,0.034014331
ENSDARG00000117808,584.6082065,1.946180926,0.456085283,4.267142568,1.98E-05,0.000613921
ENSDARG00000069356,108.6234336,1.946498625,0.508716711,3.82629189,0.000130088,0.002939
ENSDARG00000062289,38.69811201,1.946859752,0.626918651,3.105442387,0.001899946,0.024299948
ENSDARG00000079095,68.18140721,1.949568297,0.523942701,3.720957067,0.000198469,0.004130592
ENSDARG00000017785,286.3992011,1.951578617,0.652201668,2.992293201,0.002768902,0.032531937
ENSDARG00000078227,525.8526469,1.952043883,0.687158939,2.840745819,0.004500817,0.047741686
ENSDARG00000036074,772.3639233,1.953206882,0.540704493,3.612337066,0.00030345,0.005722942
ENSDARG00000088906,44.53510098,1.955996682,0.656649771,2.978751794,0.002894251,0.033782054
ENSDARG00000060482,19.45421246,1.956944569,0.620781826,3.152387015,0.001619415,0.021587152
ENSDARG00000053450,28.61274689,1.957769902,0.64503061,3.035158134,0.002404096,0.029375005
ENSDARG00000034718,216.0247246,1.960212602,0.518751742,3.778710399,0.000157643,0.003448634
ENSDARG00000045070,50.72450469,1.960241488,0.60470556,3.241646211,0.001188415,0.016727387
ENSDARG00000102415,982.5490282,1.960360726,0.368862747,5.314607506,1.07E-07,8.17E-06
ENSDARG00000056530,222.0871405,1.961458669,0.694428981,2.824563378,0.004734508,0.049806807
ENSDARG00000041724,201.3289416,1.961991309,0.550539647,3.563760251,0.00036558,0.006639713
ENSDARG00000055713,602.4197861,1.962470064,0.457689598,4.287775101,1.80E-05,0.000564502
ENSDARG00000019307,190.3013912,1.967898874,0.651426231,3.020908248,0.002520177,0.030531818
ENSDARG00000088515,11.78613245,1.967960446,0.692333179,2.842504888,0.004476054,0.047573366
ENSDARG00000096331,169.9101916,1.968705935,0.509107855,3.866972222,0.000110195,0.00255985
ENSDARG00000004954,3454.932661,1.970388674,0.448624399,4.392067572,1.12E-05,0.000381905
ENSDARG00000069505,42.4689258,1.972167445,0.656846148,3.002480034,0.002677895,0.031868169
ENSDARG00000007358,86.85604057,1.972409457,0.562155662,3.508653543,0.000450381,0.007846828
ENSDARG00000037408,204.6932588,1.972506384,0.487546022,4.045785,5.21E-05,0.001362281
ENSDARG00000101894,250.5858448,1.972717702,0.463034406,4.260412778,2.04E-05,0.000626348
ENSDARG00000033437,511.7990737,1.973777046,0.397947633,4.959891407,7.05E-07,3.92E-05
ENSDARG00000117263,39.85078255,1.97402249,0.63475132,3.109914744,0.001871414,0.024061834
ENSDARG00000002445,119.1964625,1.974040449,0.556091682,3.549847111,0.000385455,0.006889564
ENSDARG00000013598,144.0115193,1.974253946,0.686974259,2.873839769,0.004055146,0.044040536
ENSDARG00000074360,72.60755911,1.97655468,0.616330041,3.206974428,0.001341389,0.018491638
ENSDARG00000101989,137.7197279,1.978243649,0.545623666,3.625655876,0.000288229,0.005501034
ENSDARG00000032856,28.19004452,1.979041501,0.641207786,3.086427745,0.002025772,0.025555063
ENSDARG00000076144,465.4154734,1.980328428,0.452076873,4.380512582,1.18E-05,0.000400819
ENSDARG00000060753,126.5611314,1.980896311,0.4768121,4.15445898,3.26E-05,0.000926429
ENSDARG00000017058,80.04009702,1.980963406,0.503805659,3.931999114,8.42E-05,0.002052808
ENSDARG00000099518,348.9152831,1.981124189,0.526420202,3.763389364,0.000167626,0.003604378
ENSDARG00000101350,53.27734283,1.981179734,0.600710061,3.298063178,0.000973542,0.01425663
ENSDARG00000061672,32.38561631,1.981584469,0.572520519,3.461158864,0.000537855,0.009011288
ENSDARG00000112526,31.28023622,1.982453384,0.53336111,3.716906511,0.000201677,0.004177038
ENSDARG00000040445,1908.747943,1.982710931,0.502330762,3.947022717,7.91E-05,0.001952671
ENSDARG00000063040,97.33000245,1.982899223,0.377811615,5.248380788,1.53E-07,1.12E-05
ENSDARG00000078193,56.32501746,1.985791829,0.553658283,3.58667411,0.000334922,0.006187967
ENSDARG00000098377,134.6885414,1.985889808,0.642102808,3.092791036,0.001982837,0.025131989
ENSDARG00000102758,115.8314106,1.989636728,0.544145998,3.656439143,0.000255743,0.00500606
ENSDARG00000102464,41.87407568,1.990321887,0.624515635,3.186984882,0.001437643,0.019553954
ENSDARG00000075389,673.5821435,1.991878813,0.543924672,3.662049021,0.000250206,0.004929242
ENSDARG00000101356,109.7283846,1.995125646,0.561354643,3.554126912,0.000379236,0.006806844
ENSDARG00000070132,2213.926432,1.996187573,0.421127492,4.740102725,2.14E-06,9.89E-05
ENSDARG00000063539,25.88936954,1.997352098,0.576727259,3.463252457,0.000533687,0.008972508
ENSDARG00000061916,65.53285495,1.997427435,0.689013232,2.898968182,0.003743929,0.041481801
ENSDARG00000092225,51.23179896,1.998039775,0.682591471,2.927138499,0.003420965,0.038603136
ENSDARG00000004196,283.0578207,2.000269441,0.537990912,3.718035748,0.000200778,0.004166481
ENSDARG00000091233,134.0211442,2.001025247,0.537717747,3.721330121,0.000198176,0.004128509
ENSDARG00000058647,770.8263915,2.001631295,0.578796658,3.458263393,0.00054367,0.009079609
ENSDARG00000109276,493.4515502,2.003457283,0.580431535,3.451668564,0.000557132,0.009211616
ENSDARG00000070668,229.5392813,2.003517251,0.47351381,4.231169625,2.32E-05,0.000693709
ENSDARG00000103276,167.7828956,2.005122695,0.507533844,3.95071722,7.79E-05,0.001929446
ENSDARG00000016526,122.9239702,2.007797491,0.470863964,4.264071248,2.01E-05,0.000619731
ENSDARG00000053133,54.96955004,2.009316297,0.52580193,3.821431958,0.000132679,0.002984929
ENSDARG00000071251,166.0432728,2.00994445,0.459933898,4.370072439,1.24E-05,0.000416516
ENSDARG00000061120,208.6030434,2.011040133,0.582088095,3.454872468,0.000550553,0.009159475
ENSDARG00000088283,205.0949246,2.020909578,0.432096489,4.676986806,2.91E-06,0.000127113
ENSDARG00000101199,2759.097017,2.022851159,0.56894918,3.555416245,0.000377381,0.006790639
ENSDARG00000104045,133.8375149,2.022980588,0.436817621,4.631178992,3.64E-06,0.000152829
ENSDARG00000079064,49.20791219,2.024581871,0.623145754,3.248970016,0.001158237,0.016432677
ENSDARG00000067672,247.0764946,2.025172702,0.410370225,4.934989378,8.02E-07,4.35E-05
ENSDARG00000076182,9480.643134,2.027700294,0.502397531,4.036047486,5.44E-05,0.001413142
ENSDARG00000030753,64.58026505,2.032366599,0.412945393,4.92163524,8.58E-07,4.60E-05
ENSDARG00000086261,27.67029058,2.032732243,0.620296968,3.277030757,0.001049049,0.015154904
ENSDARG00000103146,70.66600292,2.034398071,0.64529191,3.152678717,0.001617798,0.021579039
ENSDARG00000055374,28.18275331,2.036025667,0.701112992,2.903990782,0.00368439,0.040949364
ENSDARG00000031136,318.9534501,2.036344025,0.573590002,3.550173499,0.000384977,0.006886781
ENSDARG00000019260,71.37728857,2.037025524,0.704143744,2.892911486,0.003816888,0.042055727
ENSDARG00000096898,111.0892748,2.038149356,0.669307377,3.045161947,0.00232555,0.028627821
ENSDARG00000039265,188.1875743,2.039799779,0.474826825,4.295881515,1.74E-05,0.000548268
ENSDARG00000006052,193.7074349,2.039970557,0.407956159,5.000465149,5.72E-07,3.35E-05
ENSDARG00000105403,69.12145783,2.040598988,0.552528222,3.69320318,0.000221447,0.004495121
ENSDARG00000105615,74.95944356,2.041623775,0.586609773,3.480378042,0.000500707,0.008563246
ENSDARG00000052129,72.60589869,2.043565154,0.681191373,2.999986838,0.002699913,0.032002567
ENSDARG00000004301,228.9792087,2.045433945,0.478747065,4.272473077,1.93E-05,0.000600292
ENSDARG00000043475,272.6624497,2.045995777,0.457482421,4.472293764,7.74E-06,0.000279547
ENSDARG00000087736,83.1642008,2.049287259,0.522281559,3.923721267,8.72E-05,0.002088986
ENSDARG00000061436,1613.840872,2.049347828,0.5664613,3.617807304,0.000297109,0.005635334
ENSDARG00000104185,29.81437225,2.050999801,0.627796417,3.266982329,0.001087005,0.015618848
ENSDARG00000096562,12526.79549,2.052736517,0.456171399,4.499923762,6.80E-06,0.000255654
ENSDARG00000075261,345.7065433,2.053156827,0.473803676,4.333349302,1.47E-05,0.000480432
ENSDARG00000006112,699.9400365,2.053413226,0.701782186,2.925997932,0.003433532,0.038704121
ENSDARG00000053010,53.37780984,2.054598102,0.493600695,4.162470039,3.15E-05,0.000901693
ENSDARG00000038672,71.99720298,2.056760027,0.598324105,3.43753496,0.000587035,0.009609497
ENSDARG00000000730,204.3484856,2.057129095,0.438437472,4.691955474,2.71E-06,0.000120366
ENSDARG00000071458,29.56436833,2.057414206,0.645987516,3.184913263,0.001447974,0.019644517
ENSDARG00000038561,21.46259384,2.058478212,0.661286093,3.112840619,0.001852961,0.023877099
ENSDARG00000027529,284.0974434,2.058508297,0.617630103,3.332914451,0.000859414,0.012930489
ENSDARG00000089892,92.23348067,2.061505881,0.584779193,3.525272286,0.000423048,0.007437227
ENSDARG00000004473,47.13701424,2.06302435,0.579822845,3.558025295,0.000373653,0.006740568
ENSDARG00000074575,228.6039197,2.064037717,0.577368687,3.574904154,0.000350356,0.006427895
ENSDARG00000037852,49.36334945,2.066253508,0.559275928,3.694515361,0.000220307,0.004480475
ENSDARG00000054543,405.3669208,2.066820889,0.496938105,4.159111305,3.19E-05,0.00091261
ENSDARG00000097032,27.05954513,2.067912922,0.648401956,3.189245348,0.001426448,0.019450334
ENSDARG00000102638,13.70938314,2.068119941,0.700431875,2.952635387,0.003150739,0.036086753
ENSDARG00000115646,65.18034267,2.068941676,0.683573604,3.026655307,0.002472758,0.030110784
ENSDARG00000060978,567.8652179,2.070407009,0.462833092,4.473334004,7.70E-06,0.000278784
ENSDARG00000099385,212.2927756,2.072533241,0.461205749,4.493728112,7.00E-06,0.000260866
ENSDARG00000059582,22.1047634,2.074156278,0.564050605,3.67725211,0.00023576,0.004709697
ENSDARG00000101641,57.56899306,2.075686506,0.557070608,3.726074355,0.000194485,0.004065574
ENSDARG00000070427,25.34543174,2.076942362,0.709753266,2.926287852,0.003430334,0.038688451
ENSDARG00000042627,218.3290028,2.07872557,0.397636009,5.227709569,1.72E-07,1.23E-05
ENSDARG00000031325,22.75725404,2.07890261,0.689935076,3.01318585,0.002585205,0.031055851
ENSDARG00000078615,67.85189836,2.080095529,0.668298758,3.112523411,0.001854953,0.023878893
ENSDARG00000061222,749.1770552,2.080874734,0.483882068,4.300375799,1.71E-05,0.00053965
ENSDARG00000021688,1966.580891,2.081300676,0.621755468,3.347458582,0.000815562,0.012419177
ENSDARG00000032469,242.3238636,2.081581758,0.565010456,3.684147325,0.000229469,0.004605404
ENSDARG00000058246,12.6280351,2.083489259,0.711716216,2.927415749,0.003417917,0.038589089
ENSDARG00000060953,24.92627133,2.084631274,0.587309801,3.549457661,0.000386026,0.006894004
ENSDARG00000079808,108.8539723,2.08714448,0.499173746,4.181198422,2.90E-05,0.000841798
ENSDARG00000091539,16.05519571,2.088167579,0.702048721,2.974391259,0.002935705,0.034191293
ENSDARG00000079315,85.83549097,2.090382202,0.542073094,3.856273677,0.000115129,0.002651428
ENSDARG00000011797,28.89819994,2.090540603,0.688656199,3.035681093,0.002399931,0.029357641
ENSDARG00000042107,12.49282967,2.091059718,0.722358608,2.894766804,0.003794403,0.041884038
ENSDARG00000070847,37.37994436,2.091546276,0.559778223,3.736383783,0.000186686,0.003923517
ENSDARG00000018404,3246.896268,2.092980027,0.542526642,3.857838245,0.000114394,0.002637356
ENSDARG00000088402,38.21163622,2.095854847,0.591245303,3.544814371,0.00039289,0.006995652
ENSDARG00000040812,191.907034,2.096985301,0.413528242,5.07096031,3.96E-07,2.48E-05
ENSDARG00000039970,10.23977648,2.098557314,0.724721095,2.89567577,0.003783431,0.04181121
ENSDARG00000025974,9.737999013,2.099089372,0.728063001,2.883115018,0.003937636,0.043004456
ENSDARG00000010878,664.3018558,2.10090915,0.714475874,2.940489982,0.003276936,0.037312424
ENSDARG00000091650,111.7327301,2.101148888,0.455381871,4.614037186,3.95E-06,0.000164065
ENSDARG00000094485,103.0670923,2.103245199,0.630455834,3.33607064,0.000849716,0.012847821
ENSDARG00000094433,82.59986972,2.105557109,0.734682405,2.865941928,0.004157705,0.045017257
ENSDARG00000015025,86.01272149,2.107254333,0.740472119,2.84582536,0.004429648,0.047255823
ENSDARG00000097702,62.09370886,2.110582774,0.714032511,2.95586369,0.003117949,0.035768638
ENSDARG00000071553,154.8871185,2.11198316,0.495586387,4.26158429,2.03E-05,0.000623968
ENSDARG00000062009,63.239581,2.115437948,0.621096963,3.405970522,0.000659293,0.010487415
ENSDARG00000029720,1343.921844,2.115511756,0.681081292,3.106107569,0.001895677,0.024294659
ENSDARG00000031929,89.69187473,2.116394113,0.713355654,2.966814801,0.003009021,0.034817747
ENSDARG00000070874,44.75835741,2.116936601,0.662712133,3.194353169,0.001401446,0.019199192
ENSDARG00000099660,59.00600398,2.11756086,0.66253045,3.196171376,0.001392644,0.019099751
ENSDARG00000089307,183.1274347,2.117929636,0.562631207,3.764330187,0.000166996,0.003598068
ENSDARG00000101675,337.3622503,2.118626622,0.528647893,4.007632771,6.13E-05,0.001566523
ENSDARG00000074754,687.8057705,2.118769811,0.704607847,3.007019891,0.002638225,0.031533421
ENSDARG00000017676,2063.910986,2.119877612,0.613947007,3.45286741,0.000554662,0.009199212
ENSDARG00000069961,246.0506053,2.120929779,0.446192595,4.753395291,2.00E-06,9.34E-05
ENSDARG00000115540,15.63271448,2.121583981,0.738535761,2.872689576,0.004069938,0.044178755
ENSDARG00000056639,74.36064439,2.122531285,0.553790278,3.832734827,0.000126727,0.002881312
ENSDARG00000043806,724.7964723,2.122751904,0.697228594,3.04455658,0.002330236,0.028658067
ENSDARG00000012729,722.3468404,2.123277188,0.390688222,5.434710008,5.49E-08,4.87E-06
ENSDARG00000101138,91.77864071,2.126390525,0.704174579,3.019692258,0.002530316,0.030619977
ENSDARG00000051975,1113.365804,2.128356653,0.38676651,5.5029497,3.73E-08,3.52E-06
ENSDARG00000088831,52.7586753,2.128646166,0.605442655,3.515851005,0.000438347,0.007662118
ENSDARG00000105423,46.68742824,2.129884539,0.567725555,3.75160942,0.000175703,0.00374419
ENSDARG00000052496,234.933969,2.133797517,0.531170373,4.017162149,5.89E-05,0.001516527
ENSDARG00000059247,125.2534105,2.134250426,0.689138268,3.09698434,0.001955002,0.024838045
ENSDARG00000075785,1577.824726,2.136928912,0.508873366,4.199333375,2.68E-05,0.000784587
ENSDARG00000109630,19.51050524,2.138594152,0.617569504,3.462920591,0.000534346,0.008973575
ENSDARG00000038681,40.13581302,2.141357988,0.64105428,3.340369225,0.000836671,0.012671104
ENSDARG00000010925,31.2851424,2.143774883,0.708653023,3.025140389,0.002485177,0.030193283
ENSDARG00000035514,309.1581461,2.148366824,0.660603545,3.252127301,0.001145447,0.016305183
ENSDARG00000100244,43.97861592,2.149098386,0.666749528,3.223246956,0.001267462,0.017633131
ENSDARG00000045574,49.53608838,2.149219161,0.599538349,3.58479014,0.000337349,0.006227428
ENSDARG00000015495,143.0219726,2.154186751,0.399410441,5.393416223,6.91E-08,5.85E-06
ENSDARG00000055750,132.6104639,2.155580762,0.501084757,4.301828646,1.69E-05,0.000538127
ENSDARG00000062707,56.58249043,2.157963351,0.66500023,3.24505655,0.001174273,0.016565907
ENSDARG00000090449,106.9551739,2.157989182,0.482984953,4.468025693,7.89E-06,0.00028387
ENSDARG00000103720,3073.057894,2.160902353,0.472673973,4.571655045,4.84E-06,0.00019351
ENSDARG00000067524,21.28242511,2.162138022,0.696902211,3.102498439,0.001918946,0.024481718
ENSDARG00000070743,26.34412118,2.162210078,0.74815451,2.890058202,0.003851705,0.042260118
ENSDARG00000105592,3931.937169,2.163199236,0.513555428,4.212202068,2.53E-05,0.000747327
ENSDARG00000057787,244.7315104,2.167399939,0.552327337,3.924122151,8.70E-05,0.002088986
ENSDARG00000106212,212.37252,2.16945253,0.734898327,2.952044452,0.003156775,0.036136542
ENSDARG00000035198,78.51948652,2.170258051,0.593467647,3.65691047,0.000255273,0.00500606
ENSDARG00000098204,34117.32909,2.170361323,0.620546031,3.497502547,0.000469636,0.008135925
ENSDARG00000006544,44.00757648,2.170861188,0.55318906,3.924266306,8.70E-05,0.002088986
ENSDARG00000078387,56.75621771,2.172438327,0.534785029,4.062264663,4.86E-05,0.00127917
ENSDARG00000040076,388.141968,2.173472034,0.510941729,4.253855014,2.10E-05,0.000642221
ENSDARG00000109567,23.2643801,2.173777246,0.75310725,2.88641126,0.003896626,0.04264364
ENSDARG00000089536,17.94695766,2.174211205,0.751660463,2.892544322,0.003821353,0.042055727
ENSDARG00000097718,43.18498573,2.178026093,0.564403054,3.858990623,0.000113856,0.002630141
ENSDARG00000104197,209.154668,2.185568392,0.486248331,4.494757623,6.96E-06,0.00026006
ENSDARG00000103677,46.47669064,2.18567637,0.652196869,3.351252475,0.000804469,0.012285238
ENSDARG00000103716,1350.263103,2.186889235,0.536881147,4.073320967,4.63E-05,0.001229918
ENSDARG00000099382,176.2214933,2.188075124,0.537582971,4.070209141,4.70E-05,0.001243742
ENSDARG00000104474,211.3855328,2.189539758,0.46251053,4.734032237,2.20E-06,0.000101215
ENSDARG00000067847,24.85222833,2.190456106,0.699218974,3.132718342,0.001731956,0.022677594
ENSDARG00000022165,135.963758,2.190491518,0.469544775,4.665138739,3.08E-06,0.000133301
ENSDARG00000074653,38.74116422,2.190696851,0.644797899,3.39749378,0.000680061,0.010726862
ENSDARG00000009208,185.0433129,2.191134639,0.446500459,4.907351365,9.23E-07,4.87E-05
ENSDARG00000039512,55.96315163,2.192336307,0.676341322,3.241464382,0.001189173,0.016727387
ENSDARG00000073688,47.26030871,2.192557892,0.645979973,3.394157688,0.0006884,0.01081375
ENSDARG00000057273,91.33736896,2.194842875,0.510154092,4.302313574,1.69E-05,0.000538127
ENSDARG00000056477,81.26801799,2.19510925,0.538715252,4.074711534,4.61E-05,0.001227431
ENSDARG00000062757,43.30783609,2.195409604,0.570718989,3.846743572,0.000119698,0.002744846
ENSDARG00000061365,36.53805294,2.19766781,0.547766584,4.012051616,6.02E-05,0.001542319
ENSDARG00000076830,127.6319661,2.198409586,0.776042944,2.832845273,0.004613571,0.048630176
ENSDARG00000004051,11.61391283,2.200125199,0.763188818,2.882805861,0.003941503,0.04302472
ENSDARG00000003293,31.50378464,2.204594792,0.705816844,3.123465826,0.001787346,0.023274663
ENSDARG00000101049,24.65080423,2.205981377,0.648712659,3.400552381,0.000672498,0.010662246
ENSDARG00000005762,21.71262915,2.206326401,0.776999619,2.839546308,0.004517774,0.047850381
ENSDARG00000058342,155.3564059,2.207427375,0.674492766,3.272722092,0.001065172,0.015356701
ENSDARG00000092222,74.36424876,2.208496551,0.7193949,3.069936349,0.002141044,0.026725575
ENSDARG00000095693,27.0689585,2.208512726,0.60544076,3.647776746,0.000264519,0.005144901
ENSDARG00000036420,121.265607,2.209156297,0.448957586,4.920634747,8.63E-07,4.60E-05
ENSDARG00000057173,1287.014609,2.209862015,0.694679907,3.181122693,0.001467055,0.019853029
ENSDARG00000076800,90.21695719,2.210948411,0.620463929,3.563379446,0.000366111,0.006643717
ENSDARG00000033170,78.96070237,2.211554745,0.66444205,3.32843887,0.000873342,0.013079388
ENSDARG00000079107,46.70844401,2.213748802,0.725691655,3.05053639,0.00228433,0.028227924
ENSDARG00000012593,3094.57738,2.21411797,0.640294718,3.457966948,0.000544268,0.009079609
ENSDARG00000044074,496.0829959,2.216165277,0.564488254,3.92597235,8.64E-05,0.002088986
ENSDARG00000053104,55.18670967,2.216204366,0.713069341,3.107978759,0.001883716,0.024169687
ENSDARG00000060072,173.1386755,2.217065371,0.515397795,4.301658622,1.70E-05,0.000538127
ENSDARG00000073901,37.11770442,2.217770129,0.686111142,3.232377372,0.001227648,0.017178242
ENSDARG00000062000,114.6245566,2.21837054,0.628859402,3.52760972,0.00041933,0.007377931
ENSDARG00000102888,9.335685301,2.21919234,0.734722146,3.020451137,0.002523984,0.030560636
ENSDARG00000087054,17.97344972,2.221221121,0.71693342,3.098225104,0.001946835,0.024778425
ENSDARG00000005565,139.485907,2.225545452,0.664571558,3.348842461,0.000811499,0.012366115
ENSDARG00000037033,56.49277739,2.225939746,0.616253905,3.612049719,0.000303786,0.005722942
ENSDARG00000051795,141.5003212,2.227294812,0.706163598,3.154077638,0.001610062,0.021502676
ENSDARG00000091234,507.956887,2.227934856,0.777271362,2.866353971,0.004152297,0.044981463
ENSDARG00000078446,74.06574373,2.228326568,0.645472952,3.452238486,0.000555956,0.009207073
ENSDARG00000032820,27.69218873,2.229298629,0.712073768,3.130713037,0.001743825,0.022763349
ENSDARG00000089871,59.85324807,2.231087147,0.627365973,3.556276946,0.000376148,0.006774139
ENSDARG00000093750,42.01935042,2.231549121,0.670455317,3.328408419,0.000873437,0.013079388
ENSDARG00000020944,11.94812788,2.23206462,0.772192095,2.890556166,0.003845608,0.042258236
ENSDARG00000021572,77.37001816,2.23303933,0.59681816,3.741574034,0.000182871,0.003877633
ENSDARG00000079353,539.2894277,2.233380939,0.409279473,5.456860378,4.85E-08,4.36E-06
ENSDARG00000091209,95.82620519,2.233924513,0.768292146,2.907649811,0.003641559,0.040515418
ENSDARG00000025903,220.5261943,2.236709376,0.545143073,4.102976787,4.08E-05,0.001114098
ENSDARG00000056630,43.46109503,2.236744057,0.605936718,3.691382266,0.000223039,0.00451458
ENSDARG00000004782,121.6639359,2.238016552,0.681644476,3.283260747,0.001026137,0.01491454
ENSDARG00000015752,197.9416611,2.23814236,0.605400907,3.696959049,0.000218198,0.004450273
ENSDARG00000095796,89.19401822,2.2407001,0.67788321,3.30543679,0.000948285,0.013990844
ENSDARG00000090346,145.4114736,2.241477873,0.576560595,3.887670944,0.000101211,0.002371745
ENSDARG00000030297,151.775842,2.2415795,0.451919051,4.960134994,7.04E-07,3.92E-05
ENSDARG00000038006,25.09528467,2.241704873,0.712458523,3.146435616,0.001652736,0.021922068
ENSDARG00000010144,139.0647493,2.241849966,0.533953136,4.198589377,2.69E-05,0.000786092
ENSDARG00000051819,63.38873018,2.243921373,0.549678083,4.082246396,4.46E-05,0.001196663
ENSDARG00000020863,32.38250704,2.248137945,0.629723246,3.570041221,0.000356925,0.00651571
