,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSDARG00000016505,344.0201845,1.821907204,0.493536657,3.691533705,0.000222906,0.00451458
ENSDARG00000060200,89.34887382,1.822118018,0.444120077,4.102759842,4.08E-05,0.001114098
ENSDARG00000071656,28.94272987,1.82449452,0.582568312,3.131812156,0.00173731,0.022714203
ENSDARG00000040087,64.53527528,1.824916476,0.593367971,3.075522383,0.002101342,0.026322133
ENSDARG00000042722,146.4707118,1.827861549,0.575657574,3.175258402,0.001497031,0.020182094
ENSDARG00000013343,61.9928989,1.827971104,0.63896261,2.86084205,0.004225175,0.045655363
ENSDARG00000076189,379.1229659,1.828242769,0.450557612,4.057733614,4.96E-05,0.001299202
ENSDARG00000104090,130.8889715,1.830213766,0.544324833,3.362355813,0.000772805,0.011877987
ENSDARG00000099803,106.1460965,1.834150493,0.578437774,3.170869152,0.001519836,0.020444147
ENSDARG00000078135,52.89776429,1.835703685,0.507997598,3.613607017,0.000301967,0.005707223
ENSDARG00000022254,135.2248198,1.837467515,0.424216834,4.331434696,1.48E-05,0.000483152
ENSDARG00000002956,582.3275522,1.842016244,0.630462505,2.921690393,0.003481374,0.039129767
ENSDARG00000019207,64.53609958,1.84523331,0.544469152,3.38905024,0.000701352,0.010984932
ENSDARG00000078119,121.7452102,1.846320838,0.518371936,3.561768513,0.000368365,0.006667658
ENSDARG00000015805,204.5646313,1.847168263,0.520694674,3.547507504,0.000388895,0.006939451
ENSDARG00000013847,309.9876223,1.848741608,0.616336843,2.999563679,0.002703666,0.03202931
ENSDARG00000089569,86.71352495,1.850649755,0.471351536,3.926262277,8.63E-05,0.002088986
ENSDARG00000078425,99.50831165,1.850820634,0.635458588,2.912574741,0.003584624,0.040027678
ENSDARG00000090873,544.6739246,1.851519631,0.535432687,3.457987669,0.000544226,0.009079609
